year,month,Tmean,Tmax,Tmin,VPDmean,VPDmax,SWmean,date,site
1979,11,26.14798182729825,27.976023487713906,24.313624835154844,0.6183448566910438,2.424386019948567,225.84419805405622,1979-11-15T00:00:00Z,KOG
1979,12,24.656720094178308,26.70021693193264,23.010290586686235,0.9916129590380203,4.587577526966584,76.08817664552731,1979-12-15T00:00:00Z,KOG
1980,1,27.254832090353,29.440627212318642,23.74632716585275,1.0533672808861307,4.705397744416171,203.69626188818376,1980-01-15T00:00:00Z,KOG
1980,2,28.59434417279938,30.4136598961892,24.931740376945537,1.4725845107482278,4.242153519014524,156.34415032626964,1980-02-15T00:00:00Z,KOG
1980,3,27.671099837522,29.031928282064957,24.18412309092976,0.9766506826524377,3.182946825838645,173.55694779003414,1980-03-15T00:00:00Z,KOG
1980,4,27.894976266072266,29.838847130418525,24.53633563592584,0.9820778215643517,2.8570694064541975,137.31170530847902,1980-04-15T00:00:00Z,KOG
1980,5,25.738021448471454,27.356139604935485,24.117541913790674,0.4070032783614624,2.4607695133633007,129.73460423755537,1980-05-15T00:00:00Z,KOG
1980,6,26.04819328327831,27.99076391403176,24.373658735537244,0.4707896583843459,1.8623333961626,179.27050608772882,1980-06-15T00:00:00Z,KOG
1980,7,24.034973565053615,26.360799387201144,22.838632473153552,0.2620988853115809,1.8006794986138295,124.84450904269234,1980-07-15T00:00:00Z,KOG
1980,8,24.3284121097766,26.531482010685014,22.961061651365853,0.24684185908974982,1.6716821602425789,106.25605612738902,1980-08-15T00:00:00Z,KOG
1980,9,24.657613472973885,25.81631275387615,23.383240386236082,0.1507299399997594,1.6482201771784044,104.7483825583441,1980-09-15T00:00:00Z,KOG
1980,10,24.47310541210521,26.298480052262907,23.409112022949486,0.19837905753916768,1.759119807590844,127.81514143699611,1980-10-15T00:00:00Z,KOG
1980,11,24.79029192658865,26.479210141352326,23.331996841042468,0.2277279828655806,1.74699320466194,154.2446256914278,1980-11-15T00:00:00Z,KOG
1980,12,24.09203995805314,27.065772197026487,22.389467603055717,1.048460341024627,3.580874699513169,176.8381682290188,1980-12-15T00:00:00Z,KOG
1981,1,26.48142178365828,29.06101303994983,22.588129008820303,2.393020650922308,5.483655826144474,212.79137653378692,1981-01-15T00:00:00Z,KOG
1981,2,27.686532507375766,29.238328319756796,24.751985835167055,1.263303326998449,3.508918102831933,193.80217669534963,1981-02-15T00:00:00Z,KOG
1981,3,26.896725629608635,28.35259586434098,24.15717476660793,0.8067709457062012,3.435815844798887,128.8298528313546,1981-03-15T00:00:00Z,KOG
1981,4,27.031026905640545,28.833942004748852,24.189346197184125,0.728853542008674,2.604672743876354,247.62078676941806,1981-04-15T00:00:00Z,KOG
1981,5,26.506502812858788,28.28526635209881,24.585313457467645,0.4839297663072026,2.349954972377118,150.28807605093834,1981-05-15T00:00:00Z,KOG
1981,6,26.360776471977843,28.36550191490852,24.46205106618827,0.4890448171186823,2.0998866627413153,193.5354095126494,1981-06-15T00:00:00Z,KOG
