year,month,Tmean,Tmax,Tmin,VPDmean,VPDmax,date,site
1997,10,25.309902715228993,27.113108947547897,22.455803272213622,0.37158209791194446,1.5246087450242434,1997-10-15T00:00:00Z,BOB
1997,11,26.378869212988146,27.998649020005704,22.619412074637083,0.6273311732680494,1.5278154605541996,1997-11-15T00:00:00Z,BOB
1997,12,26.37948447882266,28.124308927402446,23.665342097897717,0.95784583443727,3.3448381692488987,1997-12-15T00:00:00Z,BOB
1998,1,25.54369873449577,28.652021055522685,22.46487651047853,1.0532160144723426,3.4238051778892515,1998-01-15T00:00:00Z,BOB
1998,2,27.94790300954518,31.198336572870932,23.505811058632638,1.4263504288871198,3.820761355900011,1998-02-15T00:00:00Z,BOB
1998,3,26.88890703433725,30.509574521855555,23.324796843198104,0.8536496104501222,2.4371295995735145,1998-03-15T00:00:00Z,BOB
1998,4,27.094094026700155,30.5349595143148,23.791640363714166,0.7690736106048796,2.307082929323669,1998-04-15T00:00:00Z,BOB
1998,5,27.327173017058247,28.998144458776725,22.970301514654224,0.7959950009702902,2.153591057427211,1998-05-15T00:00:00Z,BOB
1998,6,25.349536753081317,27.187959683881274,22.219393628757455,0.48445640318907973,1.8368725417870073,1998-06-15T00:00:00Z,BOB
1998,7,25.83039472993197,27.217763490443478,22.558836797661908,0.5263761065394084,1.3646627515150542,1998-07-15T00:00:00Z,BOB
1998,8,24.803510487037403,26.322951398108497,22.385254577123092,0.34345664885590504,1.2729094930845726,1998-08-15T00:00:00Z,BOB
1998,9,25.13904138896666,26.89957624150301,22.345870733038268,0.3884569972143302,1.5432807059236886,1998-09-15T00:00:00Z,BOB
1998,10,25.43068226725226,27.332869553318098,22.49696451647298,0.5236911024516195,1.5331415636678403,1998-10-15T00:00:00Z,BOB
1998,11,25.541675667406263,26.895617752784133,22.361241993670816,0.448176557148201,1.587963119647625,1998-11-15T00:00:00Z,BOB
1998,12,25.58498468803235,27.25008712533229,22.327232474122784,0.7993500479603373,2.163452937159565,1998-12-15T00:00:00Z,BOB
1999,1,26.35917879936937,28.343784911889085,22.203952375149203,1.109559796079662,3.0637807374128587,1999-01-15T00:00:00Z,BOB
1999,2,26.984020620625607,28.963188345439097,22.850124840467977,1.1667665359688337,2.885412350450497,1999-02-15T00:00:00Z,BOB
1999,3,26.661608063763456,28.973375666819305,23.507807691651173,0.8018377878553472,2.2266368607693625,1999-03-15T00:00:00Z,BOB
1999,4,26.46686196602285,28.975334115789682,23.095989248152815,0.6601158180314528,2.0613956175017485,1999-04-15T00:00:00Z,BOB
1999,5,25.749593784034346,27.873963716198766,22.68254585885352,0.5177192980902356,2.049685935091502,1999-05-15T00:00:00Z,BOB
