year,month,Tmean,Tmax,Tmin,VPDmean,VPDmax,SWmean,date,site
1979,1,24.784739762846414,26.404853175115843,23.640456202221504,0.06258943407245567,0.4828392359476177,64.84260870816556,1979-01-15T00:00:00Z,ANK
1979,2,25.097692925471033,26.65559132746192,23.668313387838698,0.07152849865938013,0.5358972465936057,150.92194471206565,1979-02-15T00:00:00Z,ANK
1979,3,25.000058990689727,26.74497910220016,23.722087898639042,0.06327873360013545,0.5215337274307467,163.78977271400709,1979-03-15T00:00:00Z,ANK
1979,4,25.424527906534323,26.644661758023577,24.2209784067361,0.050611198341001216,0.6659270551093024,198.92338722303919,1979-04-15T00:00:00Z,ANK
1979,5,24.471135200710513,26.207180524214554,23.712488598610015,0.012816811944486315,0.4475278159549135,129.58720459476876,1979-05-15T00:00:00Z,ANK
1979,6,23.86002500286247,25.39112205868652,23.326294418390113,0.011914299514310627,0.41037832808055635,98.42739015461743,1979-06-15T00:00:00Z,ANK
1979,7,23.07712896282436,24.32376913405356,22.651853756181623,0.004728361302745732,0.1964330409697899,73.8983004580468,1979-07-15T00:00:00Z,ANK
1979,8,22.99142061498314,24.30437372558665,22.684718318476,0.0031679706101413905,0.17708591812101118,75.25969944457897,1979-08-15T00:00:00Z,ANK
1979,9,23.144350652286466,24.373902976166463,22.662087814479953,0.007838445949088382,0.16918326179212195,60.02052783533674,1979-09-15T00:00:00Z,ANK
1979,10,23.839668408793955,25.25201963220436,23.157934214723856,0.011501645770314678,0.2583338704495085,129.76066401764328,1979-10-15T00:00:00Z,ANK
1979,11,24.4387768781054,26.0004460295125,23.56517857188714,0.03538654585781618,0.2494821917877165,193.8466834704056,1979-11-15T00:00:00Z,ANK
1979,12,23.843853099207603,25.74845472069371,23.23150811553707,0.06417186248449223,0.46407921496471377,66.55481746790423,1979-12-15T00:00:00Z,ANK
1980,1,24.634876275678437,26.61520532636568,23.984714586911597,0.08853013928742368,0.48269571155419694,173.07336152175742,1980-01-15T00:00:00Z,ANK
1980,2,24.95170837564451,26.800979194089535,23.801062950010188,0.0829829195142476,0.49823113198254504,141.76013795301216,1980-02-15T00:00:00Z,ANK
1980,3,24.98255932374304,26.727876224311355,23.835030191428274,0.058989291893280275,0.4865251223307139,152.22826011035457,1980-03-15T00:00:00Z,ANK
1980,4,25.74414316514286,26.948968936708876,24.498187345941755,0.04824491483002183,0.5470925930586463,140.93797275479682,1980-04-15T00:00:00Z,ANK
1980,5,24.428331901624215,25.682672696135686,23.63808338657211,0.006535836899534498,0.30398176235847374,113.92094258321875,1980-05-15T00:00:00Z,ANK
1980,6,23.961677751289127,25.32679178715662,23.432678553947714,0.013614348569880287,0.38271282704865933,125.24702174360469,1980-06-15T00:00:00Z,ANK
1980,7,22.892067445839924,24.32670871022645,22.55292637579068,0.01292251262161561,0.2284375227077123,64.21832370823705,1980-07-15T00:00:00Z,ANK
1980,8,22.727004132140024,24.262200017180103,22.547022852479362,0.010714852777502544,0.14762488254606884,37.67699876375617,1980-08-15T00:00:00Z,ANK
1980,9,23.264937927910633,24.384160142896512,22.83565962899139,0.006394023603608396,0.21343224688138035,68.15202080252054,1980-09-15T00:00:00Z,ANK
1980,10,23.65354433863368,24.78640969076869,23.05871917875499,0.008635027572633645,0.26343910880333865,83.86241606525607,1980-10-15T00:00:00Z,ANK
1980,11,23.617860367271238,25.72339855538125,22.96180329567477,0.019639829633667116,0.2296681864074516,143.2319481625889,1980-11-15T00:00:00Z,ANK
1980,12,24.03358004444181,26.06198490436574,23.339380799624262,0.13787506612240671,0.5579677104127939,177.88914200936333,1980-12-15T00:00:00Z,ANK
1981,1,24.90102153639014,26.795612441742946,23.773134101117577,0.18667773604923266,0.5863127344555782,203.13306346499877,1981-01-15T00:00:00Z,ANK
1981,2,24.794328314291636,26.717675734421803,23.724898774497657,0.07081611374947092,0.47894318319248824,173.88011760929984,1981-02-15T00:00:00Z,ANK
1981,3,25.132835966971797,26.74111155227262,23.88271512547686,0.05145219718369581,0.5180041945221578,127.8420913934707,1981-03-15T00:00:00Z,ANK
1981,4,25.252590720737487,26.68186484771955,23.975257464669316,0.04757769765261739,0.48033638389031197,269.2482335647396,1981-04-15T00:00:00Z,ANK
1981,5,24.768915556392564,26.27093315301005,23.86427586553952,0.02080236721222301,0.36460972836246286,134.30816155100214,1981-05-15T00:00:00Z,ANK
1981,6,24.175271436883712,25.671649407209802,23.694092046596115,0.017779971596481786,0.37467928664493305,163.68802175546003,1981-06-15T00:00:00Z,ANK
1981,7,23.015840774048552,24.449999039891686,22.608098414096908,0.004911888665749266,0.23276352064558375,72.61122841028427,1981-07-15T00:00:00Z,ANK
1981,8,22.746643746262855,24.392347057872154,22.43158161286603,0.02110334856983531,0.19203819556516138,74.97264000512642,1981-08-15T00:00:00Z,ANK
1981,9,23.067041672958318,24.39843876101126,22.749723719483537,0.00748955113064262,0.2102864030064185,35.36194227019693,1981-09-15T00:00:00Z,ANK
1981,10,23.797143675580426,25.260675562955548,23.1221331468977,0.02531209531194345,0.327574438107269,154.99296122314948,1981-10-15T00:00:00Z,ANK
1981,11,24.582635408756147,26.112435406770196,23.379251861829268,0.08715798232625806,0.5630677310336681,188.69793358916408,1981-11-15T00:00:00Z,ANK
1981,12,23.947703753336658,25.518721022585776,23.373076624828727,0.025421016326673637,0.46620963434885804,41.90302575897253,1981-12-15T00:00:00Z,ANK
1982,1,24.19003140681066,26.525463369227168,23.354656145131887,0.14297255177568854,0.7647849243019219,154.3152398826294,1982-01-15T00:00:00Z,ANK
